net,length_um
_08189_,302.16
net4762,301.67
u_cpu.decoded_imm\[29\],301.64
_09027_,301.61
_13994_,301.53
_13358_,301.5
_09179_,301.455
_09976_,301.38
_10674_,301.35
_07426_,301.1
_13381_,300.6
_10637_,300.3
_09457_,300.11
_07252_,299.835
_04714_,299.76
_13251_,299.76
_13361_,299.74
_13418_,299.17
_05334_,298.76
_06327_,298.69
_12676_,298.68
_04734_,298.5
_06342_,298.36
_09183_,298.18
_13403_,298.15
_13411_,297.87
_14169_,297.87
_07944_,297.515
_08918_,297.43
_13453_,297.205
_11360_,297.18
net4682,297.14
_13474_,297.105
clknet_5_22__leaf_clk,296.86
net1026,296.86
_12429_,296.78
_12586_,296.77
u_cpu.decoded_imm\[11\],296.63
_09180_,296.24
_13701_,296.14
_10679_,295.96
_08750_,295.67
_05784_,295.22
_07515_,295.06
_04713_,294.38
_14456_,294.22
_06092_,293.53
_07187_,293.51
_07226_,293.16
u_cpu.decoded_imm\[14\],293.05
net4668,292.96
_07245_,292.78
_07472_,292.3
_11588_,292.22
net8,292.12
_13372_,292.005
_13281_,291.41
_04701_,291.26
_06879_,291.16
_11490_,290.805
_07552_,290.62
net4738,290.315
_11553_,290.25
_10771_,290.24
_09164_,290.17
_07096_,289.815
_11364_,289.56
_07112_,289.54
_11582_,289.4
_13476_,289.18
net2565,289.02
_06186_,288.97
_07081_,288.96
_13360_,288.825
_05859_,288.82
_13957_,288.3
_07259_,287.73
u_cpu.decoded_imm\[19\],287.43
_10100_,287.4
_13472_,287.295
_13456_,287.28
_11681_,287.12
_13956_,287.05
_13423_,286.96
_08992_,286.62
_08199_,286.145
_12819_,286.08
_13461_,286.03
_13229_,285.99
_06231_,285.745
_13425_,285.615
u_cpu.reg_pc\[17\],285.53
_12479_,285.3
_08996_,285.17
_12745_,285.16
u_cpu.decoded_imm\[8\],285.04
_05339_,284.98
_07429_,284.86
_06222_,284.78
_06294_,284.7
clknet_5_2__leaf_clk,284.61
net2933,284.48
_13364_,284.055
_12121_,283.93
_04699_,283.81
_04728_,283.62
_06140_,283.53
_12884_,283.52
_09467_,283.36
_13305_,283.335
_14241_,283.28
_06062_,283.26
_09032_,283.245
cpu_mem_rdata\[21\],282.95
_14449_,282.94
_09025_,282.83
net4800,282.77
_09171_,282.5
_14194_,282.4
_14450_,282.23
_04408_,282.13
_05335_,282.08
_13478_,282.02
_11084_,281.78
_12724_,281.48
_09006_,281.06
_13447_,280.92
u_cpu.decoded_imm\[15\],280.87
_13310_,280.67
_08318_,280.62
_13354_,280.53
_05331_,280.24
_12825_,280.14
_12987_,279.98
_13316_,279.395
_07708_,279.38
_14367_,279.365
_13396_,279.275
net4850,279.01
u_cpu.decoded_imm\[10\],278.94
_12880_,278.93
_11350_,278.92
_12514_,278.9
_09175_,278.83
_12518_,278.74
_10682_,278.49
_13233_,278.42
_12582_,278.38
_13245_,278.38
_08091_,278.3
u_cpu.decoded_imm\[28\],278.1
u_cpu.pcpi_rs1\[19\],277.71
_08213_,277.7
net4922,277.68
_05318_,277.67
_05302_,277.58
_12897_,277.17
_12876_,277.105
_12414_,277.06
net4589,277.06
net4030,276.72
_12675_,276.66
_12734_,276.38
_05901_,276.255
_07208_,276.185
_13379_,275.98
_07309_,275.94
_07671_,275.89
_14238_,275.815
_12396_,275.59
_11064_,275.56
_07194_,275.32
_13489_,275.13
_12872_,274.94
_07089_,274.92
_12134_,274.9
_12887_,274.81
net2319,274.7
_05297_,274.18
_11339_,274.14
_11468_,274.07
net4698,274.04
_07203_,273.92
_13442_,273.72
_07583_,273.56
_12392_,273.21
_06348_,273.06
_14329_,272.83
_07844_,272.76
_09039_,272.72
cpu_mem_rdata\[25\],272.68
_10218_,272.63
u_cpu.pcpi_rs1\[23\],272.53
_07058_,272.4
_09173_,272.08
_07802_,271.91
_05306_,271.78
_14219_,271.78
_06200_,271.77
_04718_,271.7
_07209_,271.67
_13958_,271.2
_13959_,271.12
_07593_,271
_07121_,270.38
clknet_5_20__leaf_clk,270.35
u_cpu.decoded_imm\[24\],270.28
_07195_,270.07
net3955,269.92
_05902_,269.61
_04717_,269.46
_12497_,269.42
net4638,269.41
_07205_,269.4
_12684_,268.93
_13355_,268.9
_13333_,268.86
_06130_,268.805
_07232_,268.74
_13890_,268.72
_11869_,268.6
u_cpu.reg_pc\[14\],268.515
_12590_,268.5
_05336_,268.495
_05310_,268.48
_07596_,268.47
_08926_,268.33
u_cpu.pcpi_rs1\[21\],268.3
net5065,268.28
_07940_,267.96
_12838_,267.94
net4781,267.78
_08994_,267.62
_07223_,267.52
_13363_,267.475
_12732_,267.46
_06081_,267.335
_07217_,267.32
cpu_mem_rdata\[27\],267.23
_04694_,267.2
_12412_,267.19
_06189_,266.99
_05718_,266.82
_10708_,266.5
_11777_,266.38
_13353_,266.33
_07204_,266.29
u_cpu.mem_la_wdata\[1\],266.12
_12791_,265.9
_11075_,265.88
_06410_,265.77
_07355_,265.61
net844,265.3
_13335_,265.295
_11336_,265.2
_11088_,265.17
_12841_,265
_04715_,264.97
u_cpu.decoded_imm\[20\],264.91
_05330_,264.9
_07260_,264.71
_07986_,264.56
_13369_,264.36
_05314_,263.96
_07829_,263.88
_10036_,263.88
_07119_,263.66
_11593_,263.44
_07225_,263.42
u_cpu.pcpi_rs2\[23\],263.34
_12875_,263.26
_12908_,263.24
_12904_,263.1
_11968_,262.92
_08775_,262.67
_13308_,262.635
_12584_,262.35
_12405_,262.31
_14264_,262.29
_07329_,262.275
_04770_,262.255
_09683_,262.2
_09176_,262.17
_12830_,261.66
_04676_,261.61
_12400_,261.51
u_cpu.decoded_imm\[7\],261.14
net4795,261.09
_07104_,261.02
net931,260.8
_05312_,260.7
_14043_,260.66
_12822_,260.6
_12749_,260.44
_14415_,260.44
